ID,Animal,Height (cm),Weight (kg),Color,Lifespan (years),Diet,Habitat,Predators,Average Speed (km/h),Countries Found,Conservation Status,Family,Gestation Period (days),Top Speed (km/h),Social Structure,Offspring per Birth
3,African Elephant,270-310,2700-6000,Grey,60-70,herbivore,"Savannah, Forest","Lions, Hyenas",25,Africa,Vulnerable,Elephantidae,640-660,40,Herd-based,1
4,African Lion,80-110,120-250,Tan,10-14,carnivore,"Grasslands, Savannas","Hyenas, Crocodiles",58,Africa,Vulnerable,Felidae,98-105,80,Group-based,2-4 (usually)
5,African Wild Dog,75-80,18-36,Multicolored,10-12,carnivore,Savannahs,"Lions, Hyenas",56,Sub-Saharan Africa,Endangered,Canidae,70,56,Group-based,10-12
6,Alpine Ibex,67-101,19-120,Brown,15-20,herbivore,"Mountains, Alpine","Wolves, Golden Eagles",60.0,European Alps,Least Concern,Bovidae,150,56-64,Group-based,1
7,Amazon Rainforest Frog,2-13,Up to 0.5,Various,4-17,carnivore,Amazon Rainforest,"Birds, Snakes",0.55,Amazon Rainforest,Not Evaluated,Dendrobatidae,10-15,0.8,Solitary,Up to 40
8,American Bison,152-186,"318-1,000",Brown,15-20,herbivore,"Grasslands, Plains","Wolves, Grizzly Bears",48.0,North America,Near Threatened,Bovidae,270-290,56,Group-based,1
10,Arabian Horse,140-160,380-1000,Various,25-30,herbivore,"Middle East, North Africa","Humans, Predators",65,"Middle East, North Africa",Not Applicable,Equidae,330-342,65,Herd-based,1
11,Arabian Oryx,70-90,65-90,White,10-20,herbivore,Desert,"Lions, Leopards",55,Middle East,Vulnerable,Bovidae,210-240,55,Herd-based,1
12,Arctic Fox,25-30,2.5-9,White,3-6,omnivore,Tundra,Polar Bears,60,Arctic regions,Least Concern,Canidae,52-60,60,Solitary,4-11
13,Arowana,Up to 120,Up to 6.7,"Silver, Gold, Green",10-20,carnivore,"Freshwater Rivers, Lakes","Birds, Larger Fish",24.0,"South America, Asia",Not Evaluated,Osteoglossidae,Not Applicable,32,Solitary,Not Applicable
14,Asian Elephant,200-300,2000-5000,Grey,60-80,herbivore,"Grasslands, Forests","Tigers, Leopards",40,Asia (Southeast),Endangered,Elephantidae,640-660,40,Herd-based,1
15,Atlantic Puffin,25-30,500-620,"Black, White",20-25,carnivore,"North Atlantic, Arctic","Gulls, Birds of Prey",40.0,"North Atlantic, Arctic",Vulnerable,Alcidae,40,80,Colony-based,1
16,Atlantic Spotted Dolphin,200-250,120-140,"Gray, White",20-25,carnivore,"Oceans, Coastal Areas","Sharks, Orcas",52.0,Worldwide,Least Concern,Delphinidae,360-380,40-64,Group-based,1
17,Australian Fur Seal,112-160,18-40,"Brown, Gray",14-17,carnivore,Coastal Waters,"Sharks, Orcas",32.0,"Australia, New Zealand",Least Concern,Otariidae,300-350,24-40,Group-based,1
19,Aye-Aye,35-37,2.2-2.7,"Black, Brown",20-23,omnivore,Rainforests,Birds of Prey,32,Madagascar,Endangered,Daubentoniidae,160-170,32,Solitary,1
